value,effect,dimension,source_slice,source_type,survey
2015,-0.2743540035179507,Period,PC,row,GSS
2020,-0.3173726078971755,Period,PC,row,GSS
1888,-0.047598890219785916,Cohort,AC,col,GSS
1893,-0.06946470722553455,Cohort,AC,col,GSS
1898,-0.10744489915443789,Cohort,AC,col,GSS
1903,-0.10903464469799329,Cohort,AC,col,GSS
1908,-0.04538014999485118,Cohort,AC,col,GSS
1913,-0.02291764198525148,Cohort,AC,col,GSS
1918,0.008278632243671646,Cohort,AC,col,GSS
1923,0.06145987820074561,Cohort,AC,col,GSS
1928,0.11833668503378969,Cohort,AC,col,GSS
1933,0.09614921815791239,Cohort,AC,col,GSS
1938,0.16072500559241187,Cohort,AC,col,GSS
1943,0.13984085686965675,Cohort,AC,col,GSS
1948,0.13443917516560178,Cohort,AC,col,GSS
1953,0.08494259813002364,Cohort,AC,col,GSS
1958,0.11732122554837021,Cohort,AC,col,GSS
1963,0.04922876584746372,Cohort,AC,col,GSS
1968,0.031537810353277074,Cohort,AC,col,GSS
1973,-6.030476271914886e-4,Cohort,AC,col,GSS
1978,-0.08885093974899894,Cohort,AC,col,GSS
1983,-0.12514915605124838,Cohort,AC,col,GSS
1988,-0.2072592618806507,Cohort,AC,col,GSS
1993,-0.16368047962075644,Cohort,AC,col,GSS
1998,-0.1825001237003414,Cohort,AC,col,GSS
1888,-0.6973385594538244,Cohort,PC,col,GSS
1893,-0.7264754875129649,Cohort,PC,col,GSS
1898,-0.77172679049526,Cohort,PC,col,GSS
1903,-0.6790239471066044,Cohort,PC,col,GSS
1908,-0.597010548775398,Cohort,PC,col,GSS
1913,-0.568835694419932,Cohort,PC,col,GSS
1918,-0.4381758382424663,Cohort,PC,col,GSS
1923,-0.31304001417642596,Cohort,PC,col,GSS
1928,-0.18971938743822525,Cohort,PC,col,GSS
1933,-0.1610947807263048,Cohort,PC,col,GSS
1938,-0.05758268772790831,Cohort,PC,col,GSS
1943,0,Cohort,PC,col,GSS
1948,0.044200209227934995,Cohort,PC,col,GSS
1953,0.07108643534113301,Cohort,PC,col,GSS
1958,0.12475227639485631,Cohort,PC,col,GSS
1963,0.10970925633997075,Cohort,PC,col,GSS
1968,0.14458395238072086,Cohort,PC,col,GSS
1973,0.15690403644370693,Cohort,PC,col,GSS
1978,0.20334550365797777,Cohort,PC,col,GSS
1983,0.20818259454737015,Cohort,PC,col,GSS
1988,0.1815820840708927,Cohort,PC,col,GSS
1993,0.2606512498857812,Cohort,PC,col,GSS
1998,0.27732198936119046,Cohort,PC,col,GSS
22,0.2801051166828623,Age,AP,row,NHANES
27,0.31780960256269264,Age,AP,row,NHANES
32,0.18181468669722545,Age,AP,row,NHANES
37,0.22813547797411982,Age,AP,row,NHANES
42,0.08896120987710177,Age,AP,row,NHANES
47,0.03998350126110006,Age,AP,row,NHANES
52,0,Age,AP,row,NHANES
57,-0.03524850957039671,Age,AP,row,NHANES
62,-0.01913738273344512,Age,AP,row,NHANES
67,-0.04452850701802147,Age,AP,row,NHANES
72,-0.09667071331539967,Age,AP,row,NHANES
77,-0.13751005833303864,Age,AP,row,NHANES
82,-0.2025161794577448,Age,AP,row,NHANES
22,0.2801051166828623,Age,AC,row,NHANES
27,0.31780960256269264,Age,AC,row,NHANES
32,0.2040385147875341,Age,AC,row,NHANES
37,0.22813547797411982,Age,AC,row,NHANES
42,0.11686279665331023,Age,AC,row,NHANES
47,0.03998350126110006,Age,AC,row,NHANES
52,0,Age,AC,row,NHANES
57,-0.05870258826764552,Age,AC,row,NHANES
62,-0.06901457265959765,Age,AC,row,NHANES
67,-0.07819906226050488,Age,AC,row,NHANES
72,-0.09667071331539967,Age,AC,row,NHANES
77,-0.1597338864233473,Age,AC,row,NHANES
82,-0.16582877174309352,Age,AC,row,NHANES
2000,0.0863228725682923,Period,AP,col,NHANES
2005,0,Period,AP,col,NHANES
2010,-0.02222382809030865,Period,AP,col,NHANES
2015,-0.02939441008572663,Period,AP,col,NHANES
2020,0,Period,AP,col,NHANES
2000,0.0903916533493736,Period,PC,row,NHANES
2005,0.054583415003742974,Period,PC,row,NHANES
2010,0,Period,PC,row,NHANES
2015,-0.04147632457061823,Period,PC,row,NHANES
2020,-0.03499569067063035,Period,PC,row,NHANES
1918,-0.09260147806020558,Cohort,AC,col,NHANES
1923,-0.15027804091747388,Cohort,AC,col,NHANES
1928,-0.05891123580495994,Cohort,AC,col,NHANES
1933,0,Cohort,AC,col,NHANES
1938,0.028783489935477746,Cohort,AC,col,NHANES
1943,0.07873255801532197,Cohort,AC,col,NHANES
1948,0.05936173649172938,Cohort,AC,col,NHANES
1953,0.03367055524248341,Cohort,AC,col,NHANES
1958,0,Cohort,AC,col,NHANES
1963,-0.027901586776208465,Cohort,AC,col,NHANES
1968,0,Cohort,AC,col,NHANES
1973,-0.07617490002249871,Cohort,AC,col,NHANES
1978,0.014129733634622443,Cohort,AC,col,NHANES
1983,-0.016914285185011924,Cohort,AC,col,NHANES
1988,-0.02222382809030865,Cohort,AC,col,NHANES
1993,-0.04254793148179892,Cohort,AC,col,NHANES
1998,0.1158846333891983,Cohort,AC,col,NHANES
1918,-0.3415983425917939,Cohort,PC,col,NHANES
1923,-0.37832334361637376,Cohort,PC,col,NHANES
1928,-0.22206576332484929,Cohort,PC,col,NHANES
1933,-0.14827044681036616,Cohort,PC,col,NHANES
1938,-0.0967754267678913,Cohort,PC,col,NHANES
1943,-0.03209372979059921,Cohort,PC,col,NHANES
1948,-0.002429275606989467,Cohort,PC,col,NHANES
1953,0,Cohort,PC,col,NHANES
1958,-0.007376353181764106,Cohort,PC,col,NHANES
1963,0.019305475045770404,Cohort,PC,col,NHANES
1968,0.10441797464689495,Cohort,PC,col,NHANES
1973,0.1356432543304198,Cohort,PC,col,NHANES
1978,0.21392601806778888,Cohort,PC,col,NHANES
1983,0.26197492749677287,Cohort,PC,col,NHANES
1988,0.23095895458101445,Cohort,PC,col,NHANES
1993,0.30186899632248165,Cohort,PC,col,NHANES
1998,0.43820900130356977,Cohort,PC,col,NHANES
22,0.4698173793603222,Age,AP,row,MEPS
27,0.42411727988114256,Age,AP,row,MEPS
32,0.3372185786522368,Age,AP,row,MEPS
37,0.26055541701399587,Age,AP,row,MEPS
42,0.16909298851989263,Age,AP,row,MEPS
47,0.07418788230025397,Age,AP,row,MEPS
52,0,Age,AP,row,MEPS
57,-0.05608189833200372,Age,AP,row,MEPS
62,-0.10612334622614883,Age,AP,row,MEPS
67,-0.1496012619635363,Age,AP,row,MEPS
72,-0.2007918868812646,Age,AP,row,MEPS
77,-0.3526213012381709,Age,AP,row,MEPS
82,-0.399556580727503,Age,AP,row,MEPS
22,0.4647066867113496,Age,AC,row,MEPS
27,0.393143401673711,Age,AC,row,MEPS
32,0.3297567749269761,Age,AC,row,MEPS
37,0.24631775145167945,Age,AC,row,MEPS
42,0.17581008943210819,Age,AC,row,MEPS
47,0.07418788230025397,Age,AC,row,MEPS
52,0,Age,AC,row,MEPS
57,-0.06232572839092132,Age,AC,row,MEPS
62,-0.10410352162363878,Age,AC,row,MEPS
67,-0.10088048375912306,Age,AC,row,MEPS
72,-0.18322565672137903,Age,AC,row,MEPS
77,-0.2417904163989874,Age,AC,row,MEPS
82,-0.24806936674401225,Age,AC,row,MEPS
2000,-0.03271395994484827,Period,AP,col,MEPS
2005,-0.03633949218233612,Period,AP,col,MEPS
2010,0,Period,AP,col,MEPS
2015,0.048838170973150685,Period,AP,col,MEPS
2020,0.05460531255454937,Period,AP,col,MEPS
2000,0.08883295798727397,Period,PC,row,MEPS
2005,0.027579250708410274,Period,PC,row,MEPS
2010,0,Period,PC,row,MEPS
2015,-0.001566150783010034,Period,PC,row,MEPS
2020,-0.062020211934053826,Period,PC,row,MEPS
1918,-0.33516091141108395,Cohort,AC,col,MEPS
1923,-0.265467686089449,Cohort,AC,col,MEPS
1928,-0.15449432119246234,Cohort,AC,col,MEPS
1933,-0.11450492577903627,Cohort,AC,col,MEPS
1938,-0.02130879150398697,Cohort,AC,col,MEPS
1943,0,Cohort,AC,col,MEPS
1948,0,Cohort,AC,col,MEPS
1953,0,Cohort,AC,col,MEPS
1958,0,Cohort,AC,col,MEPS
1963,0,Cohort,AC,col,MEPS
1968,0.00970028250521171,Cohort,AC,col,MEPS
1973,0,Cohort,AC,col,MEPS
1978,-0.0077673535641484825,Cohort,AC,col,MEPS
1983,0.0328536592033124,Cohort,AC,col,MEPS
1988,0.043830256606432805,Cohort,AC,col,MEPS
1993,0.023031975619449252,Cohort,AC,col,MEPS
1998,0.03569568689186431,Cohort,AC,col,MEPS
1918,-0.6938044132201044,Cohort,PC,col,MEPS
1923,-0.5903448590865252,Cohort,PC,col,MEPS
1928,-0.4456051653775943,Cohort,PC,col,MEPS
1933,-0.3519742136156916,Cohort,PC,col,MEPS
1938,-0.2350519389047876,Cohort,PC,col,MEPS
1943,-0.14582833945350915,Cohort,PC,col,MEPS
1948,-0.12584469870137305,Cohort,PC,col,MEPS
1953,-0.08406690546865558,Cohort,PC,col,MEPS
1958,-0.0024983247785579366,Cohort,PC,col,MEPS
1963,0.05983376946881602,Cohort,PC,col,MEPS
1968,0.10269459504464784,Cohort,PC,col,MEPS
1973,0.19775613319831908,Cohort,PC,col,MEPS
1978,0.2892185616924223,Cohort,PC,col,MEPS
1983,0.38547460676589207,Cohort,PC,col,MEPS
1988,0.452780424559569,Cohort,PC,col,MEPS
1993,0.4620090240927772,Cohort,PC,col,MEPS
1998,0.5406814084595335,Cohort,PC,col,MEPS
22,0.5011323058912494,Age,AP,row,NHIS
27,0.48293993287592585,Age,AP,row,NHIS
32,0.43050585275548947,Age,AP,row,NHIS
37,0.36548532249928023,Age,AP,row,NHIS
42,0.2590511637752204,Age,AP,row,NHIS
47,0.11685533052699393,Age,AP,row,NHIS
52,0,Age,AP,row,NHIS
57,-0.1302356842563248,Age,AP,row,NHIS
62,-0.2159988957818535,Age,AP,row,NHIS
67,-0.28654178371472927,Age,AP,row,NHIS
72,-0.392714965444382,Age,AP,row,NHIS
77,-0.4790437422989027,Age,AP,row,NHIS
82,-0.5666872646073147,Age,AP,row,NHIS
22,0.6076899623931713,Age,AC,row,NHIS
27,0.5476876562519203,Age,AC,row,NHIS
32,0.4660749854586085,Age,AC,row,NHIS
37,0.3787176952845306,Age,AC,row,NHIS
42,0.28340531908689837,Age,AC,row,NHIS
47,0.14190267031327086,Age,AC,row,NHIS
52,0,Age,AC,row,NHIS
57,-0.12965853979345476,Age,AC,row,NHIS
62,-0.23532017490229906,Age,AC,row,NHIS
67,-0.2620919827446152,Age,AC,row,NHIS
72,-0.3462641046165421,Age,AC,row,NHIS
77,-0.41822093675644645,Age,AC,row,NHIS
82,-0.4897152672564986,Age,AC,row,NHIS
1980,-0.027826467236718333,Period,AP,col,NHIS
1985,0.017431266638806786,Period,AP,col,NHIS
1990,0.0016668115211424528,Period,AP,col,NHIS
1995,0.04077291025385099,Period,AP,col,NHIS
2000,0.013692048723043637,Period,AP,col,NHIS
2005,0,Period,AP,col,NHIS
2010,-0.027361755366325013,Period,AP,col,NHIS
2015,-0.00917782262372624,Period,AP,col,NHIS
2020,-0.10543652531856385,Period,AP,col,NHIS
1980,0.3215038552623395,Period,PC,row,NHIS
1985,0.28956163318910016,Period,PC,row,NHIS
1990,0.2170777855036632,Period,PC,row,NHIS
1995,0.10805848047022015,Period,PC,row,NHIS
2000,0,Period,PC,row,NHIS
2005,-0.0631807089854533,Period,PC,row,NHIS
2010,-0.14822574873174513,Period,PC,row,NHIS
2015,-0.2341222481245209,Period,PC,row,NHIS
2020,-0.4138908648225255,Period,PC,row,NHIS
1898,-0.11048050895536488,Cohort,AC,col,NHIS
1903,-0.008278273547995596,Cohort,AC,col,NHIS
1908,-0.05853620976957874,Cohort,AC,col,NHIS
1913,-0.019364203734038743,Cohort,AC,col,NHIS
1918,0.0033200015431487095,Cohort,AC,col,NHIS
1923,0.01782168325428002,Cohort,AC,col,NHIS
1928,0.04856101978938465,Cohort,AC,col,NHIS
1933,0.09828537082828664,Cohort,AC,col,NHIS
1938,0.11993066743310798,Cohort,AC,col,NHIS
1943,0.10745299277596532,Cohort,AC,col,NHIS
1948,0.11982981358865619,Cohort,AC,col,NHIS
1953,0.0748645076207829,Cohort,AC,col,NHIS
1958,0.045730796339568336,Cohort,AC,col,NHIS
1963,0.017349141054941675,Cohort,AC,col,NHIS
1968,0,Cohort,AC,col,NHIS
1973,-0.0065037192721904,Cohort,AC,col,NHIS
1978,-0.03229367013265105,Cohort,AC,col,NHIS
1983,-0.03522994054585593,Cohort,AC,col,NHIS
1988,-0.06838212947322442,Cohort,AC,col,NHIS
1993,-0.10052070697895438,Cohort,AC,col,NHIS
1998,-0.1588459002474465,Cohort,AC,col,NHIS
1898,-1.0975167950978093,Cohort,PC,col,NHIS
1903,-0.9435962834037942,Cohort,PC,col,NHIS
1908,-0.9421359433387315,Cohort,PC,col,NHIS
1913,-0.8126805170648622,Cohort,PC,col,NHIS
1918,-0.7092224275455484,Cohort,PC,col,NHIS
1923,-0.6065572923847824,Cohort,PC,col,NHIS
1928,-0.48895566636193655,Cohort,PC,col,NHIS
1933,-0.3625844329072252,Cohort,PC,col,NHIS
1938,-0.22859719447675647,Cohort,PC,col,NHIS
1943,-0.10932250250720738,Cohort,PC,col,NHIS
1948,0,Cohort,PC,col,NHIS
1953,0.04897786039811383,Cohort,PC,col,NHIS
1958,0.08019877403140663,Cohort,PC,col,NHIS
1963,0.1445272478640381,Cohort,PC,col,NHIS
1968,0.25581390419503724,Cohort,PC,col,NHIS
1973,0.33213643396917053,Cohort,PC,col,NHIS
1978,0.4047291096527942,Cohort,PC,col,NHIS
1983,0.48356112906498244,Cohort,PC,col,NHIS
1988,0.5406459322557787,Cohort,PC,col,NHIS
1993,0.6253574951935084,Cohort,PC,col,NHIS
1998,0.686917763344644,Cohort,PC,col,NHIS
22,0.5562997199789286,Age,AP,row,CPS
27,0.4547018174340667,Age,AP,row,CPS
32,0.410005068114887,Age,AP,row,CPS
37,0.3292285835014108,Age,AP,row,CPS
42,0.25566399747389124,Age,AP,row,CPS
47,0.11303707981834776,Age,AP,row,CPS
52,0,Age,AP,row,CPS
57,-0.11787616918060229,Age,AP,row,CPS
62,-0.220648860981548,Age,AP,row,CPS
67,-0.3440828228427937,Age,AP,row,CPS
72,-0.44355804838755697,Age,AP,row,CPS
77,-0.5813047062802483,Age,AP,row,CPS
82,-0.6958395321980828,Age,AP,row,CPS
22,0.5752585654400779,Age,AC,row,CPS
27,0.4598400381347417,Age,AC,row,CPS
32,0.41750741959708426,Age,AC,row,CPS
37,0.3240285540478589,Age,AC,row,CPS
42,0.2176403560142126,Age,AC,row,CPS
47,0.10864041688851112,Age,AC,row,CPS
52,0,Age,AC,row,CPS
57,-0.1442168452279633,Age,AC,row,CPS
62,-0.2387427722800739,Age,AC,row,CPS
67,-0.33305432662837475,Age,AC,row,CPS
72,-0.4051726038980439,Age,AC,row,CPS
77,-0.49026201707457373,Age,AC,row,CPS
82,-0.5561215528471943,Age,AC,row,CPS
1995,0,Period,AP,col,CPS
2000,-3.132761682689278e-5,Period,AP,col,CPS
2005,-0.002851807350399138,Period,AP,col,CPS
2010,-0.012444819597631884,Period,AP,col,CPS
2015,0.0131872973759255,Period,AP,col,CPS
2020,0.05249790004574928,Period,AP,col,CPS
2025,0.0052078352518658555,Period,AP,col,CPS
1995,0.293428251693762,Period,PC,row,CPS
2000,0.1950610981082459,Period,PC,row,CPS
2005,0.11546517750668084,Period,PC,row,CPS
2010,0,Period,PC,row,CPS
2015,-0.042276238605545746,Period,PC,row,CPS
2020,-0.14159235011509352,Period,PC,row,CPS
2025,-0.23802331181302946,Period,PC,row,CPS
1913,-0.31382952105579887,Cohort,AC,col,CPS
1918,-0.28334984404056174,Cohort,AC,col,CPS
1923,-0.21927001033748922,Cohort,AC,col,CPS
1928,-0.14747873106041512,Cohort,AC,col,CPS
1933,-0.08595111870634425,Cohort,AC,col,CPS
1938,0.003539676145475318,Cohort,AC,col,CPS
1943,0.04384573852749635,Cohort,AC,col,CPS
1948,0.04978085905834656,Cohort,AC,col,CPS
1953,0.05821291646368881,Cohort,AC,col,CPS
1958,0.05927092860002253,Cohort,AC,col,CPS
1963,0.059395851044951875,Cohort,AC,col,CPS
1968,0.05355067482010217,Cohort,AC,col,CPS
1973,0.022744225348828084,Cohort,AC,col,CPS
1978,0.012374844295614876,Cohort,AC,col,CPS
1983,-4.665020134467235e-5,Cohort,AC,col,CPS
1988,-0.01650934036478549,Cohort,AC,col,CPS
1993,-0.05016614460492366,Cohort,AC,col,CPS
1998,-0.08421987173583874,Cohort,AC,col,CPS
2003,-0.10425324648698897,Cohort,AC,col,CPS
1913,-1.1565646092305897,Cohort,PC,col,CPS
1918,-1.0439715875362847,Cohort,PC,col,CPS
1923,-0.8975310988739893,Cohort,PC,col,CPS
1928,-0.7528932191378018,Cohort,PC,col,CPS
1933,-0.5831822062678786,Cohort,PC,col,CPS
1938,-0.42450375404278134,Cohort,PC,col,CPS
1943,-0.2886174884425476,Cohort,PC,col,CPS
1948,-0.19564312983703244,Cohort,PC,col,CPS
1953,-0.09517732409333485,Cohort,PC,col,CPS
1958,0.0012506161130281523,Cohort,PC,col,CPS
1963,0.10275300477638322,Cohort,PC,col,CPS
1968,0.24409939483250376,Cohort,PC,col,CPS
1973,0.3126974983664739,Cohort,PC,col,CPS
1978,0.3795091375183922,Cohort,PC,col,CPS
1983,0.4666081042995623,Cohort,PC,col,CPS
1988,0.5240894505084378,Cohort,PC,col,CPS
1993,0.5644341084478512,Cohort,PC,col,CPS
1998,0.6299519773817979,Cohort,PC,col,CPS
2003,0.7158433471322836,Cohort,PC,col,CPS
22,0.23065845396825035,Age,AP,row,BRFSS
27,0.2513973019083784,Age,AP,row,BRFSS
32,0.2288365586499,Age,AP,row,BRFSS
37,0.19512789872148378,Age,AP,row,BRFSS
42,0.12108685500170235,Age,AP,row,BRFSS
47,0.036305739288557515,Age,AP,row,BRFSS
52,-0.036305739288557515,Age,AP,row,BRFSS
57,-0.14636722701241456,Age,AP,row,BRFSS
62,-0.19320545451560006,Age,AP,row,BRFSS
67,-0.21258452599862138,Age,AP,row,BRFSS
72,-0.2822326711094853,Age,AP,row,BRFSS
77,-0.4107884014775815,Age,AP,row,BRFSS
22,0.45504963147868105,Age,AC,row,BRFSS
27,0.41478667889929394,Age,AC,row,BRFSS
32,0.36972723228838505,Age,AC,row,BRFSS
37,0.27830247086633236,Age,AC,row,BRFSS
42,0.1664992324320694,Age,AC,row,BRFSS
47,0.04771521848483447,Age,AC,row,BRFSS
52,-0.04771521848483447,Age,AC,row,BRFSS
57,-0.15777192315758834,Age,AC,row,BRFSS
62,-0.2501936593328436,Age,AC,row,BRFSS
67,-0.2763629432762082,Age,AC,row,BRFSS
72,-0.3181264748597904,Age,AC,row,BRFSS
77,-0.3986206872017212,Age,AC,row,BRFSS
1990,0.16239678969675958,Period,AP,col,BRFSS
1995,0.12160193079466003,Period,AP,col,BRFSS
2000,0.05309959566883066,Period,AP,col,BRFSS
2005,0.025001713424529115,Period,AP,col,BRFSS
2010,-0.037484228254150154,Period,AP,col,BRFSS
2015,-0.059986472486939835,Period,AP,col,BRFSS
2020,-0.022420521150531475,Period,AP,col,BRFSS
2025,-0.1354342010162673,Period,AP,col,BRFSS
1990,0.36539541914511964,Period,PC,row,BRFSS
1995,0.26806601104426375,Period,PC,row,BRFSS
2000,0.11879889880913844,Period,PC,row,BRFSS
2005,0.03257972736117607,Period,PC,row,BRFSS
2010,-0.03257972736117607,Period,PC,row,BRFSS
2015,-0.13023433400528583,Period,PC,row,BRFSS
2020,-0.16285397944256044,Period,PC,row,BRFSS
2025,-0.32824220332229764,Period,PC,row,BRFSS
1913,-0.02511189615810585,Cohort,AC,col,BRFSS
1918,0.0047123007670413185,Cohort,AC,col,BRFSS
1923,0.021729846025632327,Cohort,AC,col,BRFSS
1928,0.06685325546943365,Cohort,AC,col,BRFSS
1933,0.07359736150351145,Cohort,AC,col,BRFSS
1938,0.12133848335025298,Cohort,AC,col,BRFSS
1943,0.13342116209772406,Cohort,AC,col,BRFSS
1948,0.12219156946128204,Cohort,AC,col,BRFSS
1953,0.11450361410732265,Cohort,AC,col,BRFSS
1958,0.07656090037624874,Cohort,AC,col,BRFSS
1963,0.050535943326838244,Cohort,AC,col,BRFSS
1968,-0.0029605592323551488,Cohort,AC,col,BRFSS
1973,-0.0504992846861608,Cohort,AC,col,BRFSS
1978,-0.12500875611628767,Cohort,AC,col,BRFSS
1983,-0.14575978746972998,Cohort,AC,col,BRFSS
1988,-0.1618905445425719,Cohort,AC,col,BRFSS
1993,-0.17401296054199525,Cohort,AC,col,BRFSS
1998,-0.2899428687822878,Cohort,AC,col,BRFSS
2003,-0.325946434257639,Cohort,AC,col,BRFSS
1913,-0.8793004506725175,Cohort,PC,col,BRFSS
1918,-0.7605644435259773,Cohort,PC,col,BRFSS
1923,-0.6546350880459927,Cohort,PC,col,BRFSS
1928,-0.5143271329756259,Cohort,PC,col,BRFSS
1933,-0.4117369287494061,Cohort,PC,col,BRFSS
1938,-0.27895965264303996,Cohort,PC,col,BRFSS
1943,-0.2088687674986373,Cohort,PC,col,BRFSS
1948,-0.11971925482115094,Cohort,PC,col,BRFSS
1953,-0.0679651561392241,Cohort,PC,col,BRFSS
1958,8.582854776932958e-4,Cohort,PC,col,BRFSS
1963,0.03374290713715644,Cohort,PC,col,BRFSS
1968,0.07736782858891054,Cohort,PC,col,BRFSS
1973,0.14330236947470607,Cohort,PC,col,BRFSS
1978,0.17813534247551088,Cohort,PC,col,BRFSS
1983,0.22414234577023373,Cohort,PC,col,BRFSS
1988,0.2889674289023045,Cohort,PC,col,BRFSS
1993,0.3134552496322882,Cohort,PC,col,BRFSS
1998,0.3003509296215579,Cohort,PC,col,BRFSS
2003,0.36717295237576886,Cohort,PC,col,BRFSS
